"VEN_DEV_SUBSYS";"VEN";"VEN_name";"DEV";"DEV_name";"SUBSYS";"SUBSYS_name"
"VEN_0432&DEV_0001";"0432";"SCM Microsystems, Inc.";"0001";"Pluto2 DVB-T Receiver for PCMCIA [EasyWatch MobilSet]";"";""
"";"0497";"Dell Inc. (wrong ID)";"";"";"";""
"VEN_0675&DEV_1700";"0675";"Dynalink";"1700";"IS64PH ISDN Adapter";"";""
"VEN_0675&DEV_1702";"0675";"Dynalink";"1702";"IS64PH ISDN Adapter";"";""
"VEN_0675&DEV_1703";"0675";"Dynalink";"1703";"ISDN Adapter (PCI Bus, DV, W)";"";""
"VEN_0675&DEV_1704";"0675";"Dynalink";"1704";"ISDN Adapter (PCI Bus, D, C)";"";""
"";"0721";"Sapphire, Inc.";"";"";"";""
"VEN_0731&DEV_7200";"0731";"Jingjia Microelectronics Co Ltd";"7200";"JM7200 Series GPU";"";""
"";"0777";"Ubiquiti Networks, Inc.";"";"";"";""
"VEN_0795&DEV_6663";"0795";"Wired Inc.";"6663";"Butane II (MPEG2 encoder board)";"";""
"VEN_0795&DEV_6666";"0795";"Wired Inc.";"6666";"MediaPress (MPEG2 encoder board)";"";""
"";"07D1";"D-Link System Inc";"";"";"";""
"";"0824";"T1042 [Freescale]";"";"";"";""
"";"0925";"VIA Technologies, Inc. (Wrong ID)";"";"";"";""
"";"0A89";"BREA Technologies Inc";"";"";"";""
"VEN_0B0B&DEV_0105";"0B0B";"Rhino Equipment Corp.";"0105";"R1T1";"";""
"VEN_0B0B&DEV_0205";"0B0B";"Rhino Equipment Corp.";"0205";"R4FXO";"";""
"VEN_0B0B&DEV_0206";"0B0B";"Rhino Equipment Corp.";"0206";"RCB4FXO 4-channel FXO analog telephony card";"";""
"VEN_0B0B&DEV_0305";"0B0B";"Rhino Equipment Corp.";"0305";"R4T1";"";""
"VEN_0B0B&DEV_0405";"0B0B";"Rhino Equipment Corp.";"0405";"R8FXX";"";""
"VEN_0B0B&DEV_0406";"0B0B";"Rhino Equipment Corp.";"0406";"RCB8FXX 8-channel modular analog telephony card";"";""
"VEN_0B0B&DEV_0505";"0B0B";"Rhino Equipment Corp.";"0505";"R24FXX";"";""
"VEN_0B0B&DEV_0506";"0B0B";"Rhino Equipment Corp.";"0506";"RCB24FXS 24-Channel FXS analog telephony card";"";""
"VEN_0B0B&DEV_0605";"0B0B";"Rhino Equipment Corp.";"0605";"R2T1";"";""
"VEN_0B0B&DEV_0705";"0B0B";"Rhino Equipment Corp.";"0705";"R24FXS";"";""
"VEN_0B0B&DEV_0706";"0B0B";"Rhino Equipment Corp.";"0706";"RCB24FXO 24-Channel FXO analog telephony card";"";""
"VEN_0B0B&DEV_0905";"0B0B";"Rhino Equipment Corp.";"0905";"R1T3 Single T3 Digital Telephony Card";"";""
"VEN_0B0B&DEV_0906";"0B0B";"Rhino Equipment Corp.";"0906";"RCB24FXX 24-channel modular analog telephony card";"";""
"VEN_0B0B&DEV_0A06";"0B0B";"Rhino Equipment Corp.";"0A06";"RCB672FXX 672-channel modular analog telephony card";"";""
"VEN_0E11&DEV_0001";"0E11";"Compaq Computer Corporation";"0001";"PCI to EISA Bridge";"";""
"VEN_0E11&DEV_0002";"0E11";"Compaq Computer Corporation";"0002";"PCI to ISA Bridge";"";""
"VEN_0E11&DEV_0046";"0E11";"Compaq Computer Corporation";"0046";"Smart Array 64xx";"";""
"VEN_0E11&DEV_0046&SUBSYS_40910E11";"0E11";"Compaq Computer Corporation";"0046";"Smart Array 64xx";"40910E11";"Smart Array 6i"
"VEN_0E11&DEV_0046&SUBSYS_409A0E11";"0E11";"Compaq Computer Corporation";"0046";"Smart Array 64xx";"409A0E11";"Smart Array 641"
"VEN_0E11&DEV_0046&SUBSYS_409B0E11";"0E11";"Compaq Computer Corporation";"0046";"Smart Array 64xx";"409B0E11";"Smart Array 642"
"VEN_0E11&DEV_0046&SUBSYS_409C0E11";"0E11";"Compaq Computer Corporation";"0046";"Smart Array 64xx";"409C0E11";"Smart Array 6400"
"VEN_0E11&DEV_0046&SUBSYS_409D0E11";"0E11";"Compaq Computer Corporation";"0046";"Smart Array 64xx";"409D0E11";"Smart Array 6400 EM"
"VEN_0E11&DEV_0049";"0E11";"Compaq Computer Corporation";"0049";"NC7132 Gigabit Upgrade Module";"";""
"VEN_0E11&DEV_004A";"0E11";"Compaq Computer Corporation";"004A";"NC6136 Gigabit Server Adapter";"";""
"VEN_0E11&DEV_005A";"0E11";"Compaq Computer Corporation";"005A";"Remote Insight II board - Lights-Out";"";""
"VEN_0E11&DEV_007C";"0E11";"Compaq Computer Corporation";"007C";"NC7770 1000BaseTX";"";""
"VEN_0E11&DEV_007D";"0E11";"Compaq Computer Corporation";"007D";"NC6770 1000BaseTX";"";""
"VEN_0E11&DEV_0085";"0E11";"Compaq Computer Corporation";"0085";"NC7780 1000BaseTX";"";""
"VEN_0E11&DEV_00B1";"0E11";"Compaq Computer Corporation";"00B1";"Remote Insight II board - PCI device";"";""
"VEN_0E11&DEV_00BB";"0E11";"Compaq Computer Corporation";"00BB";"NC7760";"";""
"VEN_0E11&DEV_00CA";"0E11";"Compaq Computer Corporation";"00CA";"NC7771";"";""
"VEN_0E11&DEV_00CB";"0E11";"Compaq Computer Corporation";"00CB";"NC7781";"";""
"VEN_0E11&DEV_00CF";"0E11";"Compaq Computer Corporation";"00CF";"NC7772";"";""
"VEN_0E11&DEV_00D0";"0E11";"Compaq Computer Corporation";"00D0";"NC7782";"";""
"VEN_0E11&DEV_00D1";"0E11";"Compaq Computer Corporation";"00D1";"NC7783";"";""
"VEN_0E11&DEV_00E3";"0E11";"Compaq Computer Corporation";"00E3";"NC7761";"";""
"VEN_0E11&DEV_0508";"0E11";"Compaq Computer Corporation";"0508";"Netelligent 4/16 Token Ring";"";""
"VEN_0E11&DEV_1000";"0E11";"Compaq Computer Corporation";"1000";"Triflex/Pentium Bridge, Model 1000";"";""
"VEN_0E11&DEV_2000";"0E11";"Compaq Computer Corporation";"2000";"Triflex/Pentium Bridge, Model 2000";"";""
"VEN_0E11&DEV_3032";"0E11";"Compaq Computer Corporation";"3032";"QVision 1280/p";"";""
"VEN_0E11&DEV_3033";"0E11";"Compaq Computer Corporation";"3033";"QVision 1280/p";"";""
"VEN_0E11&DEV_3034";"0E11";"Compaq Computer Corporation";"3034";"QVision 1280/p";"";""
"VEN_0E11&DEV_4000";"0E11";"Compaq Computer Corporation";"4000";"4000 [Triflex]";"";""
"VEN_0E11&DEV_4040";"0E11";"Compaq Computer Corporation";"4040";"Integrated Array";"";""
"VEN_0E11&DEV_4048";"0E11";"Compaq Computer Corporation";"4048";"Compaq Raid LC2";"";""
"VEN_0E11&DEV_4050";"0E11";"Compaq Computer Corporation";"4050";"Smart Array 4200";"";""
"VEN_0E11&DEV_4051";"0E11";"Compaq Computer Corporation";"4051";"Smart Array 4250ES";"";""
"VEN_0E11&DEV_4058";"0E11";"Compaq Computer Corporation";"4058";"Smart Array 431";"";""
"VEN_0E11&DEV_4070";"0E11";"Compaq Computer Corporation";"4070";"Smart Array 5300";"";""
"VEN_0E11&DEV_4080";"0E11";"Compaq Computer Corporation";"4080";"Smart Array 5i";"";""
"VEN_0E11&DEV_4082";"0E11";"Compaq Computer Corporation";"4082";"Smart Array 532";"";""
"VEN_0E11&DEV_4083";"0E11";"Compaq Computer Corporation";"4083";"Smart Array 5312";"";""
"VEN_0E11&DEV_4091";"0E11";"Compaq Computer Corporation";"4091";"Smart Array 6i";"";""
"VEN_0E11&DEV_409A";"0E11";"Compaq Computer Corporation";"409A";"Smart Array 641";"";""
"VEN_0E11&DEV_409B";"0E11";"Compaq Computer Corporation";"409B";"Smart Array 642";"";""
"VEN_0E11&DEV_409C";"0E11";"Compaq Computer Corporation";"409C";"Smart Array 6400";"";""
"VEN_0E11&DEV_409D";"0E11";"Compaq Computer Corporation";"409D";"Smart Array 6400 EM";"";""
"VEN_0E11&DEV_6010";"0E11";"Compaq Computer Corporation";"6010";"HotPlug PCI Bridge 6010";"";""
"VEN_0E11&DEV_7020";"0E11";"Compaq Computer Corporation";"7020";"USB Controller";"";""
"VEN_0E11&DEV_A0EC";"0E11";"Compaq Computer Corporation";"A0EC";"Fibre Channel Host Controller";"";""
"VEN_0E11&DEV_A0F0";"0E11";"Compaq Computer Corporation";"A0F0";"Advanced System Management Controller";"";""
"VEN_0E11&DEV_A0F0&SUBSYS_B0F30E11";"0E11";"Compaq Computer Corporation";"A0F0";"Advanced System Management Controller";"B0F30E11";"ProLiant DL360"
"VEN_0E11&DEV_A0F3";"0E11";"Compaq Computer Corporation";"A0F3";"Triflex PCI to ISA Bridge";"";""
"VEN_0E11&DEV_A0F7";"0E11";"Compaq Computer Corporation";"A0F7";"PCI Hotplug Controller";"";""
"VEN_0E11&DEV_A0F7&SUBSYS_002A8086";"0E11";"Compaq Computer Corporation";"A0F7";"PCI Hotplug Controller";"002A8086";"PCI Hotplug Controller A"
"VEN_0E11&DEV_A0F7&SUBSYS_002B8086";"0E11";"Compaq Computer Corporation";"A0F7";"PCI Hotplug Controller";"002B8086";"PCI Hotplug Controller B"
"VEN_0E11&DEV_A0F8";"0E11";"Compaq Computer Corporation";"A0F8";"ZFMicro Chipset USB";"";""
"VEN_0E11&DEV_A0FC";"0E11";"Compaq Computer Corporation";"A0FC";"FibreChannel HBA Tachyon";"";""
"VEN_0E11&DEV_AE10";"0E11";"Compaq Computer Corporation";"AE10";"Smart-2/P RAID Controller";"";""
"VEN_0E11&DEV_AE10&SUBSYS_40300E11";"0E11";"Compaq Computer Corporation";"AE10";"Smart-2/P RAID Controller";"40300E11";"Smart-2/P Array Controller"
"VEN_0E11&DEV_AE10&SUBSYS_40310E11";"0E11";"Compaq Computer Corporation";"AE10";"Smart-2/P RAID Controller";"40310E11";"Smart-2SL Array Controller"
"VEN_0E11&DEV_AE10&SUBSYS_40320E11";"0E11";"Compaq Computer Corporation";"AE10";"Smart-2/P RAID Controller";"40320E11";"Smart Array 3200 Controller"
"VEN_0E11&DEV_AE10&SUBSYS_40330E11";"0E11";"Compaq Computer Corporation";"AE10";"Smart-2/P RAID Controller";"40330E11";"Smart Array 3100ES Controller"
"VEN_0E11&DEV_AE10&SUBSYS_40340E11";"0E11";"Compaq Computer Corporation";"AE10";"Smart-2/P RAID Controller";"40340E11";"Smart Array 221 Controller"
"VEN_0E11&DEV_AE29";"0E11";"Compaq Computer Corporation";"AE29";"MIS-L";"";""
"VEN_0E11&DEV_AE2A";"0E11";"Compaq Computer Corporation";"AE2A";"MPC";"";""
"VEN_0E11&DEV_AE2B";"0E11";"Compaq Computer Corporation";"AE2B";"MIS-E";"";""
"VEN_0E11&DEV_AE31";"0E11";"Compaq Computer Corporation";"AE31";"System Management Controller";"";""
"VEN_0E11&DEV_AE32";"0E11";"Compaq Computer Corporation";"AE32";"Netelligent 10/100 TX PCI UTP";"";""
"VEN_0E11&DEV_AE33";"0E11";"Compaq Computer Corporation";"AE33";"Triflex Dual EIDE Controller";"";""
"VEN_0E11&DEV_AE34";"0E11";"Compaq Computer Corporation";"AE34";"Netelligent 10 T PCI UTP";"";""
"VEN_0E11&DEV_AE35";"0E11";"Compaq Computer Corporation";"AE35";"Integrated NetFlex-3/P";"";""
"VEN_0E11&DEV_AE40";"0E11";"Compaq Computer Corporation";"AE40";"Netelligent Dual 10/100 TX PCI UTP";"";""
"VEN_0E11&DEV_AE43";"0E11";"Compaq Computer Corporation";"AE43";"Netelligent Integrated 10/100 TX UTP";"";""
"VEN_0E11&DEV_AE69";"0E11";"Compaq Computer Corporation";"AE69";"CETUS-L";"";""
"VEN_0E11&DEV_AE6C";"0E11";"Compaq Computer Corporation";"AE6C";"Northstar";"";""
"VEN_0E11&DEV_AE6D";"0E11";"Compaq Computer Corporation";"AE6D";"NorthStar CPU to PCI Bridge";"";""
"VEN_0E11&DEV_B011";"0E11";"Compaq Computer Corporation";"B011";"Netelligent 10/100 TX Embedded UTP";"";""
"VEN_0E11&DEV_B012";"0E11";"Compaq Computer Corporation";"B012";"Netelligent 10 T/2 PCI UTP/Coax";"";""
"VEN_0E11&DEV_B01E";"0E11";"Compaq Computer Corporation";"B01E";"NC3120 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B01F";"0E11";"Compaq Computer Corporation";"B01F";"NC3122 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B02F";"0E11";"Compaq Computer Corporation";"B02F";"NC1120 Ethernet NIC";"";""
"VEN_0E11&DEV_B030";"0E11";"Compaq Computer Corporation";"B030";"Netelligent 10/100 TX UTP";"";""
"VEN_0E11&DEV_B04A";"0E11";"Compaq Computer Corporation";"B04A";"10/100 TX PCI Intel WOL UTP Controller";"";""
"VEN_0E11&DEV_B060";"0E11";"Compaq Computer Corporation";"B060";"Smart Array 5300 Controller";"";""
"VEN_0E11&DEV_B0C6";"0E11";"Compaq Computer Corporation";"B0C6";"NC3161 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B0C7";"0E11";"Compaq Computer Corporation";"B0C7";"NC3160 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B0D7";"0E11";"Compaq Computer Corporation";"B0D7";"NC3121 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B0DD";"0E11";"Compaq Computer Corporation";"B0DD";"NC3131 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B0DE";"0E11";"Compaq Computer Corporation";"B0DE";"NC3132 Fast Ethernet Module";"";""
"VEN_0E11&DEV_B0DF";"0E11";"Compaq Computer Corporation";"B0DF";"NC6132 Gigabit Module";"";""
"VEN_0E11&DEV_B0E0";"0E11";"Compaq Computer Corporation";"B0E0";"NC6133 Gigabit Module";"";""
"VEN_0E11&DEV_B0E1";"0E11";"Compaq Computer Corporation";"B0E1";"NC3133 Fast Ethernet Module";"";""
"VEN_0E11&DEV_B123";"0E11";"Compaq Computer Corporation";"B123";"NC6134 Gigabit NIC";"";""
"VEN_0E11&DEV_B134";"0E11";"Compaq Computer Corporation";"B134";"NC3163 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B13C";"0E11";"Compaq Computer Corporation";"B13C";"NC3162 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B144";"0E11";"Compaq Computer Corporation";"B144";"NC3123 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B163";"0E11";"Compaq Computer Corporation";"B163";"NC3134 Fast Ethernet NIC";"";""
"VEN_0E11&DEV_B164";"0E11";"Compaq Computer Corporation";"B164";"NC3165 Fast Ethernet Upgrade Module";"";""
"VEN_0E11&DEV_B178";"0E11";"Compaq Computer Corporation";"B178";"Smart Array 5i/532";"";""
"VEN_0E11&DEV_B178&SUBSYS_40800E11";"0E11";"Compaq Computer Corporation";"B178";"Smart Array 5i/532";"40800E11";"Smart Array 5i"
"VEN_0E11&DEV_B178&SUBSYS_40820E11";"0E11";"Compaq Computer Corporation";"B178";"Smart Array 5i/532";"40820E11";"Smart Array 532"
"VEN_0E11&DEV_B178&SUBSYS_40830E11";"0E11";"Compaq Computer Corporation";"B178";"Smart Array 5i/532";"40830E11";"Smart Array 5312"
"VEN_0E11&DEV_B1A4";"0E11";"Compaq Computer Corporation";"B1A4";"NC7131 Gigabit Server Adapter";"";""
"VEN_0E11&DEV_B200";"0E11";"Compaq Computer Corporation";"B200";"Memory Hot-Plug Controller";"";""
"VEN_0E11&DEV_B203";"0E11";"Compaq Computer Corporation";"B203";"Integrated Lights Out Controller";"";""
"VEN_0E11&DEV_B204";"0E11";"Compaq Computer Corporation";"B204";"Integrated Lights Out  Processor";"";""
"VEN_0E11&DEV_C000";"0E11";"Compaq Computer Corporation";"C000";"Remote Insight Lights-Out Edition";"";""
"VEN_0E11&DEV_F130";"0E11";"Compaq Computer Corporation";"F130";"NetFlex-3/P ThunderLAN 1.0";"";""
"VEN_0E11&DEV_F150";"0E11";"Compaq Computer Corporation";"F150";"NetFlex-3/P ThunderLAN 2.3";"";""
"";"0E55";"HaSoTec GmbH";"";"";"";""
"VEN_0EAC&DEV_0008";"0EAC";"SHF Communication Technologies AG";"0008";"Ethernet Powerlink Managing Node 01";"";""
"";"0F62";"Acrox Technologies Co., Ltd.";"";"";"";""
"VEN_1000&DEV_0001";"1000";"Broadcom / LSI";"0001";"53c810";"";""
"VEN_1000&DEV_0001&SUBSYS_10001000";"1000";"Broadcom / LSI";"0001";"53c810";"10001000";"LSI53C810AE PCI to SCSI I/O Processor"
"VEN_1000&DEV_0002";"1000";"Broadcom / LSI";"0002";"53c820";"";""
"VEN_1000&DEV_0003";"1000";"Broadcom / LSI";"0003";"53c825";"";""
"VEN_1000&DEV_0003&SUBSYS_10001000";"1000";"Broadcom / LSI";"0003";"53c825";"10001000";"LSI53C825AE PCI to SCSI I/O Processor (Ultra Wide)"
"VEN_1000&DEV_0004";"1000";"Broadcom / LSI";"0004";"53c815";"";""
"VEN_1000&DEV_0005";"1000";"Broadcom / LSI";"0005";"53c810AP";"";""
"VEN_1000&DEV_0006";"1000";"Broadcom / LSI";"0006";"53c860";"";""
"VEN_1000&DEV_0006&SUBSYS_10001000";"1000";"Broadcom / LSI";"0006";"53c860";"10001000";"LSI53C860E PCI to Ultra SCSI I/O Processor"
"VEN_1000&DEV_000A";"1000";"Broadcom / LSI";"000A";"53c1510";"";""
"VEN_1000&DEV_000A&SUBSYS_B1430E11";"1000";"Broadcom / LSI";"000A";"53c1510";"B1430E11";"Integrated Dual Channel Wide Ultra2 SCSI Controller"
"VEN_1000&DEV_000A&SUBSYS_10001000";"1000";"Broadcom / LSI";"000A";"53c1510";"10001000";"LSI53C1510 PCI to Dual Channel Wide Ultra2 SCSI Controller (Nonintelligent mode)"
"VEN_1000&DEV_000B";"1000";"Broadcom / LSI";"000B";"53C896/897";"";""
"VEN_1000&DEV_000B&SUBSYS_60040E11";"1000";"Broadcom / LSI";"000B";"53C896/897";"60040E11";"EOB003 Series SCSI host adapter"
"VEN_1000&DEV_000B&SUBSYS_10001000";"1000";"Broadcom / LSI";"000B";"53C896/897";"10001000";"LSI53C896/7 PCI to Dual Channel Ultra2 SCSI Multifunction Controller"
"VEN_1000&DEV_000B&SUBSYS_10101000";"1000";"Broadcom / LSI";"000B";"53C896/897";"10101000";"LSI22910 PCI to Dual Channel Ultra2 SCSI host adapter"
"VEN_1000&DEV_000B&SUBSYS_10201000";"1000";"Broadcom / LSI";"000B";"53C896/897";"10201000";"LSI21002 PCI to Dual Channel Ultra2 SCSI host adapter"
"VEN_1000&DEV_000B&SUBSYS_100013E9";"1000";"Broadcom / LSI";"000B";"53C896/897";"100013E9";"6221L-4U (Dual U2W SCSI, dual 10/100TX, graphics)"
"VEN_1000&DEV_000C";"1000";"Broadcom / LSI";"000C";"53c895";"";""
"VEN_1000&DEV_000C&SUBSYS_10101000";"1000";"Broadcom / LSI";"000C";"53c895";"10101000";"LSI8951U PCI to Ultra2 SCSI host adapter"
"VEN_1000&DEV_000C&SUBSYS_10201000";"1000";"Broadcom / LSI";"000C";"53c895";"10201000";"LSI8952U PCI to Ultra2 SCSI host adapter"
"VEN_1000&DEV_000C&SUBSYS_39061DE1";"1000";"Broadcom / LSI";"000C";"53c895";"39061DE1";"DC-390U2B SCSI adapter"
"VEN_1000&DEV_000C&SUBSYS_39071DE1";"1000";"Broadcom / LSI";"000C";"53c895";"39071DE1";"DC-390U2W"
"VEN_1000&DEV_000D";"1000";"Broadcom / LSI";"000D";"53c885";"";""
"VEN_1000&DEV_000F";"1000";"Broadcom / LSI";"000F";"53c875";"";""
"VEN_1000&DEV_000F&SUBSYS_70040E11";"1000";"Broadcom / LSI";"000F";"53c875";"70040E11";"Embedded Ultra Wide SCSI Controller"
"VEN_1000&DEV_000F&SUBSYS_10001000";"1000";"Broadcom / LSI";"000F";"53c875";"10001000";"LSI53C876/E PCI to Dual Channel SCSI Controller"
"VEN_1000&DEV_000F&SUBSYS_10101000";"1000";"Broadcom / LSI";"000F";"53c875";"10101000";"LSI22801 PCI to Dual Channel Ultra SCSI host adapter"
"VEN_1000&DEV_000F&SUBSYS_10201000";"1000";"Broadcom / LSI";"000F";"53c875";"10201000";"LSI22802 PCI to Dual Channel Ultra SCSI host adapter"
"VEN_1000&DEV_000F&SUBSYS_87601092";"1000";"Broadcom / LSI";"000F";"53c875";"87601092";"FirePort 40 Dual SCSI Controller"
"VEN_1000&DEV_000F&SUBSYS_10D01775";"1000";"Broadcom / LSI";"000F";"53c875";"10D01775";"V5D Single Board Computer Wide Ultra SCSI"
"VEN_1000&DEV_000F&SUBSYS_10D11775";"1000";"Broadcom / LSI";"000F";"53c875";"10D11775";"V5D Single Board Computer Ultra SCSI"
"VEN_1000&DEV_000F&SUBSYS_39041DE1";"1000";"Broadcom / LSI";"000F";"53c875";"39041DE1";"DC390F/U Ultra Wide SCSI Adapter"
"VEN_1000&DEV_000F&SUBSYS_10004C53";"1000";"Broadcom / LSI";"000F";"53c875";"10004C53";"CC7/CR7/CP7/VC7/VP7/VR7 mainboard"
"VEN_1000&DEV_000F&SUBSYS_10504C53";"1000";"Broadcom / LSI";"000F";"53c875";"10504C53";"CT7 mainboard"
"VEN_1000&DEV_0010";"1000";"Broadcom / LSI";"0010";"53C1510";"";""
"VEN_1000&DEV_0010&SUBSYS_40400E11";"1000";"Broadcom / LSI";"0010";"53C1510";"40400E11";"Integrated Smart Array Controller"
"VEN_1000&DEV_0010&SUBSYS_40480E11";"1000";"Broadcom / LSI";"0010";"53C1510";"40480E11";"RAID LC2 Controller"
"VEN_1000&DEV_0010&SUBSYS_10001000";"1000";"Broadcom / LSI";"0010";"53C1510";"10001000";"53C1510 PCI to Dual Channel Wide Ultra2 SCSI Controller (Intelligent mode)"
"VEN_1000&DEV_0012";"1000";"Broadcom / LSI";"0012";"53c895a";"";""
"VEN_1000&DEV_0012&SUBSYS_10001000";"1000";"Broadcom / LSI";"0012";"53c895a";"10001000";"LSI53C895A PCI to Ultra2 SCSI Controller"
"VEN_1000&DEV_0013";"1000";"Broadcom / LSI";"0013";"53c875a";"";""
"VEN_1000&DEV_0013&SUBSYS_10001000";"1000";"Broadcom / LSI";"0013";"53c875a";"10001000";"LSI53C875A PCI to Ultra SCSI Controller"
"VEN_1000&DEV_0014";"1000";"Broadcom / LSI";"0014";"MegaRAID Tri-Mode SAS3516";"";""
"VEN_1000&DEV_0014&SUBSYS_94601000";"1000";"Broadcom / LSI";"0014";"MegaRAID Tri-Mode SAS3516";"94601000";"MegaRAID 9460-16i"
"VEN_1000&DEV_0014&SUBSYS_94801000";"1000";"Broadcom / LSI";"0014";"MegaRAID Tri-Mode SAS3516";"94801000";"MegaRAID 9480-8i8e"
"VEN_1000&DEV_0014&SUBSYS_94811000";"1000";"Broadcom / LSI";"0014";"MegaRAID Tri-Mode SAS3516";"94811000";"MegaRAID 9480-8e"
"VEN_1000&DEV_0014&SUBSYS_1F3A1028";"1000";"Broadcom / LSI";"0014";"MegaRAID Tri-Mode SAS3516";"1F3A1028";"PERC H745 Adapter"
"VEN_1000&DEV_0014&SUBSYS_1F3B1028";"1000";"Broadcom / LSI";"0014";"MegaRAID Tri-Mode SAS3516";"1F3B1028";"PERC H745 Front"
